ประเภท,Year,จำนวน (คน),,
การเกิด,2554,796091,,
การเกิด,2555,818975,,
การเกิด,2556,782129,,
การเกิด,2557,776370,,
การเกิด,2558,736352,,
การเกิด,2559,704058,,
การเกิด,2560,703003,,
การเกิด,2561,666366,,
การเกิด,2562,618205,,
การเกิด,2563,587368,,
การเกิด,2564,544570,,
การเกิด,2565,502107,,
การเกิด,2566,517934,,
การเกิด,2567,462240,,
การตาย,2554,419265,,
การตาย,2555,423224,,
การตาย,2556,438648,,
การตาย,2557,448601,,
การตาย,2558,456391,,
การตาย,2559,480434,,
การตาย,2560,468911,,
การตาย,2561,473541,,
การตาย,2562,506211,,
การตาย,2563,501438,,
การตาย,2564,563650,,
การตาย,2565,595965,,
การตาย,2566,565992,,
การตาย,2567,571646,,
