ประเภท,YYYY,หน่วย:พันล้านบาท,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2554,638.5,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2555,655.8,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2556,660.4,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2557,658.5,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2558,615.9,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2559,608.8,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2560,638.1,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2561,677.0,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2562,670.4,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2563,649.2,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2564,663.8,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2565,680.3,,,,,,,,,,,,,,,,,,,,,
ภาคเกษตรกรรม ,2566,693.4,,,,,,,,,,,,,,,,,,,,,
